ICOUNT,ID_MT,ENTIDAD,ID_TRAMO,TIPO_CALZ,PR,Latitud,Longitud,Clasificacion,Municipio,Departamento,divipola
2,,INVIAS-OTROS,,,37,1.020441,-77.698917,Muy Bajo,SAPUYES,NARIÑO,52720
2,4G025,ANI,RumPast_Tramo_UF3,Doble,36,0.997095,-77.474728,Muy Bajo,ILES,NARIÑO,52352
4,4G025,ANI,RumPast_Tramo_UF5,Doble,79,1.163092,-77.286501,Muy Bajo,PASTO,NARIÑO,52001
2,,INVIAS-OTROS,RPC_Tramo_5VOrientPasto,Sencilla,sd,1.168242,-77.255688,Muy Bajo,PASTO,NARIÑO,52001
2,,INVIAS-OTROS,ViaPuerto_Tramo_UF0,Sencilla,20,3.879461,-76.922322,Muy Bajo,BUENAVENTURA,VALLE DEL CAUCA,76109
2,,INVIAS-OTROS,ViaPuerto_Tramo_UF0,Sencilla,26,3.870278,-76.87666,Muy Bajo,BUENAVENTURA,VALLE DEL CAUCA,76109
7,,INVIAS-OTROS,ViaPuerto_Tramo_UF0,Sencilla,45,3.820753,-76.782572,Bajo,BUENAVENTURA,VALLE DEL CAUCA,76109
4,,INVIAS-OTROS,MVVCC_Tramo_7LobogBuga,Doble,83,3.845501,-76.579456,Muy Bajo,LA CUMBRE,VALLE DEL CAUCA,76377
2,4G026,ANI,AutoMar2_Tramo_UF5,Sencilla,24,7.492504,-76.566124,Muy Bajo,MUTATÁ,ANTIOQUIA,5480
2,4G021,ANI,MVVCC_Tramo_1PopayanSantQui,Doble,55,2.883826,-76.551361,Muy Bajo,CALDONO,CAUCA,19137
4,,INVIAS-OTROS,MVVCC_Tramo_7LobogBuga,Doble,87,3.854613,-76.54604,Muy Bajo,RESTREPO,VALLE DEL CAUCA,76606
3,4G021,ANI,MVVCC_Tramo_1PopayanSantQui,Doble,73,3.016749,-76.499233,Muy Bajo,SANTANDER DE QUILICHAO,CAUCA,19698
2,4G021,ANI,MVVCC_Tramo_1PopayanSantQui,Doble,71,3.000641,-76.496945,Muy Bajo,SANTANDER DE QUILICHAO,CAUCA,19698
8,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.552498,-76.47908,Bajo,PALMIRA,VALLE DEL CAUCA,76520
3,,INVIAS-OTROS,MVVCC_Tramo_4CaliPalmira,Doble,3,3.496313,-76.461411,Muy Bajo,PALMIRA,VALLE DEL CAUCA,76520
3,,INVIAS-OTROS,MVVCC_Tramo_2SantQuiPalmira,Doble,sd,3.175478,-76.452656,Muy Bajo,VILLA RICA,CAUCA,19845
2,,INVIAS-OTROS,MVVCC_Tramo_4CaliPalmira,Doble,5,3.500004,-76.446648,Muy Bajo,PALMIRA,VALLE DEL CAUCA,76520
4,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.559141,-76.445704,Muy Bajo,PALMIRA,VALLE DEL CAUCA,76520
8,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.564077,-76.434174,Bajo,PALMIRA,VALLE DEL CAUCA,76520
2,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.530302,-76.426392,Muy Bajo,PALMIRA,VALLE DEL CAUCA,76520
8,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.551623,-76.419354,Bajo,PALMIRA,VALLE DEL CAUCA,76520
12,,INVIAS-OTROS,MVVCC_Tramo_4CaliPalmira,Doble,7,3.50657,-76.417723,Bajo,PALMIRA,VALLE DEL CAUCA,76520
2,,INVIAS-OTROS,MVVCC_Tramo_6CencarPLaTorre,Doble,sd,3.587551,-76.403217,Muy Bajo,PALMIRA,VALLE DEL CAUCA,76520
